,0
　→東京当月の平均気温(℃),-36.90064725597155
　一月前の平均気温(℃),28.77188664230616
日最高気温の平均(℃),-68.8056233051253
日最低気温の平均(℃),4.090800320987576
降水量の合計(mm),0.5915499396508406
日照時間の合計(時間),-2.260146593967999
気温max=<20かつmin=>10の日数(日),-6.5753129637345715
　→群馬当月の平均気温(℃),11.451766393634237
　一月前の平均気温(℃).1,10.382535664523713
日最高気温の平均(℃).1,-84.33453505244353
日最低気温の平均(℃).1,31.613334242673837
降水量の合計(mm).1,-0.4757538410803985
日照時間の合計(時間).1,0.872968238664758
気温max=<20かつmin=>10の日数(日).1,34.11378129403526
　当月の平均気温(℃),105.55088064682204
　一月前の平均気温(℃).2,-59.11085554302029
日最高気温の平均(℃).2,75.56529566965986
日最低気温の平均(℃).2,-36.110340933772186
降水量の合計(mm).2,-0.9141034320259349
日照時間の合計(時間).2,3.1630319956144133
気温max=<20かつmin=>10の日数(日).2,32.27166535315595
